"filename", "language", "TypeScript", "encodingImgTargetFile", "TypeScript JSX", "SCSS", "JavaScript", "vue", "CSS", "comment", "blank", "total"
"d:\share12\three-template-master\src\App.vue", "vue", 0, 0, 0, 0, 0, 22, 0, 0, 1, 23
"d:\share12\three-template-master\src\assets\avatar.png", "encodingImgTargetFile", 0, 610, 0, 0, 0, 0, 0, 0, 4, 614
"d:\share12\three-template-master\src\assets\avatar\face-1.jpg", "encodingImgTargetFile", 0, 379, 0, 0, 0, 0, 0, 0, 3, 382
"d:\share12\three-template-master\src\assets\avatar\face-2.jpg", "encodingImgTargetFile", 0, 327, 0, 0, 0, 0, 0, 0, 3, 330
"d:\share12\three-template-master\src\assets\avatar\face-3.jpg", "encodingImgTargetFile", 0, 253, 0, 0, 0, 0, 0, 0, 0, 253
"d:\share12\three-template-master\src\assets\avatar\face-4.jpg", "encodingImgTargetFile", 0, 432, 0, 0, 0, 0, 0, 0, 7, 439
"d:\share12\three-template-master\src\assets\gitee-b.svg", "encodingImgTargetFile", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"d:\share12\three-template-master\src\assets\gitee.svg", "encodingImgTargetFile", 0, 15, 0, 0, 0, 0, 0, 0, 0, 15
"d:\share12\three-template-master\src\assets\image\quick-pass-logo-1.jpg", "encodingImgTargetFile", 0, 259, 0, 0, 0, 0, 0, 0, 0, 259
"d:\share12\three-template-master\src\assets\image\quick-pass-logo.jpg", "encodingImgTargetFile", 0, 188, 0, 0, 0, 0, 0, 0, 0, 188
"d:\share12\three-template-master\src\assets\image\quick-pass.jpg", "encodingImgTargetFile", 0, 233, 0, 0, 0, 0, 0, 0, 1, 234
"d:\share12\three-template-master\src\assets\image\step.jpg", "encodingImgTargetFile", 0, 2199, 0, 0, 0, 0, 0, 0, 11, 2210
"d:\share12\three-template-master\src\assets\image\union-pay-logo-1.jpg", "encodingImgTargetFile", 0, 500, 0, 0, 0, 0, 0, 0, 1, 501
"d:\share12\three-template-master\src\assets\image\unionpay-logo.jpg", "encodingImgTargetFile", 0, 589, 0, 0, 0, 0, 0, 0, 3, 592
"d:\share12\three-template-master\src\assets\logo.png", "encodingImgTargetFile", 0, 59, 0, 0, 0, 0, 0, 0, 1, 60
"d:\share12\three-template-master\src\assets\logo\antdv.svg", "encodingImgTargetFile", 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"d:\share12\three-template-master\src\assets\logo\atlassian.svg", "encodingImgTargetFile", 0, 16, 0, 0, 0, 0, 0, 0, 0, 16
"d:\share12\three-template-master\src\assets\logo\invision.svg", "encodingImgTargetFile", 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"d:\share12\three-template-master\src\assets\logo\jira.svg", "encodingImgTargetFile", 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"d:\share12\three-template-master\src\assets\logo\shopify.svg", "encodingImgTargetFile", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"d:\share12\three-template-master\src\assets\logo\slack.svg", "encodingImgTargetFile", 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"d:\share12\three-template-master\src\assets\logo\spotify.svg", "encodingImgTargetFile", 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"d:\share12\three-template-master\src\assets\logo\tailwindcss.svg", "encodingImgTargetFile", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\share12\three-template-master\src\assets\personal-bg.png", "encodingImgTargetFile", 0, 916, 0, 0, 0, 0, 0, 0, 5, 921
"d:\share12\three-template-master\src\assets\shopify.svg", "encodingImgTargetFile", 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"d:\share12\three-template-master\src\assets\theme\china-red.png", "encodingImgTargetFile", 0, 492, 0, 0, 0, 0, 0, 0, 2, 494
"d:\share12\three-template-master\src\assets\theme\green.png", "encodingImgTargetFile", 0, 500, 0, 0, 0, 0, 0, 0, 3, 503
"d:\share12\three-template-master\src\assets\theme\header-dark.png", "encodingImgTargetFile", 0, 377, 0, 0, 0, 0, 0, 0, 7, 384
"d:\share12\three-template-master\src\assets\theme\idea.png", "encodingImgTargetFile", 0, 431, 0, 0, 0, 0, 0, 0, 33, 464
