"filename", "language", "TypeScript JSX", "TypeScript", "vue", "comment", "blank", "total"
"d:\share12\three-template-master\src\pages\billing\BankCard.vue", "vue", 0, 0, 61, 0, 2, 63
"d:\share12\three-template-master\src\pages\billing\Billing.vue", "vue", 0, 0, 59, 0, 2, 61
"d:\share12\three-template-master\src\pages\billing\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"d:\share12\three-template-master\src\pages\design\index.tsx", "TypeScript JSX", 44, 0, 0, 1, 2, 47
"d:\share12\three-template-master\src\pages\home\Config1.tsx", "TypeScript JSX", 137, 0, 0, 2, 0, 139
"d:\share12\three-template-master\src\pages\home\CustomShow.tsx", "TypeScript JSX", 84, 0, 0, 0, 17, 101
"d:\share12\three-template-master\src\pages\home\CustomTrigger.tsx", "TypeScript JSX", 70, 0, 0, 0, 10, 80
"d:\share12\three-template-master\src\pages\home\Dynamic.tsx", "TypeScript JSX", 89, 0, 0, 0, 10, 99
"d:\share12\three-template-master\src\pages\home\Group.tsx", "TypeScript JSX", 57, 0, 0, 0, 9, 66
"d:\share12\three-template-master\src\pages\home\Home.tsx", "TypeScript JSX", 37, 0, 0, 87, 1, 125
"d:\share12\three-template-master\src\pages\home\Multiple.tsx", "TypeScript JSX", 75, 0, 0, 0, 11, 86
"d:\share12\three-template-master\src\pages\home\Simple.tsx", "TypeScript JSX", 52, 0, 0, 1, 13, 66
"d:\share12\three-template-master\src\pages\home\TriggerBox.tsx", "TypeScript JSX", 18, 0, 0, 0, 4, 22
"d:\share12\three-template-master\src\pages\home\d.vue", "vue", 0, 0, 17, 0, 4, 21
"d:\share12\three-template-master\src\pages\home\index copy.ts", "TypeScript", 0, 7, 0, 0, 2, 9
"d:\share12\three-template-master\src\pages\home\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"d:\share12\three-template-master\src\pages\index.tsx", "TypeScript JSX", 156, 0, 0, 33, 2, 191
"d:\share12\three-template-master\src\pages\login\Login.tsx", "TypeScript JSX", 178, 0, 0, 9, 2, 189
"d:\share12\three-template-master\src\pages\login\LoginBox.vue", "vue", 0, 0, 66, 0, 5, 71
"d:\share12\three-template-master\src\pages\login\LoginModal.vue", "vue", 0, 0, 45, 0, 6, 51
"d:\share12\three-template-master\src\pages\login\data.ts", "TypeScript", 0, 311, 0, 0, 2, 313
"d:\share12\three-template-master\src\pages\login\index.ts", "TypeScript", 0, 3, 0, 0, 1, 4
"d:\share12\three-template-master\src\pages\personal\Conversation.vue", "vue", 0, 0, 58, 0, 3, 61
"d:\share12\three-template-master\src\pages\personal\Personal.vue", "vue", 0, 0, 65, 0, 5, 70
"d:\share12\three-template-master\src\pages\personal\PlatformSetting.vue", "vue", 0, 0, 68, 0, 2, 70
"d:\share12\three-template-master\src\pages\personal\ProfileInfo.vue", "vue", 0, 0, 85, 0, 9, 94
"d:\share12\three-template-master\src\pages\personal\Projects.vue", "vue", 0, 0, 120, 0, 9, 129
"d:\share12\three-template-master\src\pages\personal\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"Total", "-", 997, 327, 644, 133, 136, 2237
