"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "vue", "XML", "SCSS", "comment", "blank", "total"
"d:\share12\three-template-master\src\packages\base.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\share12\three-template-master\src\packages\ckeditor\__index.jsx", "JavaScript", 0, 0, 112, 0, 0, 0, 54, 29, 195
"d:\share12\three-template-master\src\packages\ckeditor\index.jsx", "JavaScript", 0, 0, 219, 0, 0, 0, 9, 10, 238
"d:\share12\three-template-master\src\packages\ckeditor\style\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\share12\three-template-master\src\packages\designNodeForm.ts", "TypeScript", 501, 0, 0, 0, 0, 0, 10, 4, 515
"d:\share12\three-template-master\src\packages\form.ts", "TypeScript", 1664, 0, 0, 0, 0, 0, 75, 22, 1761
"d:\share12\three-template-master\src\packages\formCom.tsx", "TypeScript JSX", 0, 197, 0, 0, 0, 0, 6, 2, 205
"d:\share12\three-template-master\src\packages\formEditor\componentsConfig.ts", "TypeScript", 439, 0, 0, 0, 0, 0, 619, 4, 1062
"d:\share12\three-template-master\src\packages\formEditor\components\CompleteButton.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 0, 2, 1, 64
"d:\share12\three-template-master\src\packages\formEditor\components\DeviceSwitch.vue", "vue", 0, 0, 0, 34, 0, 0, 2, 3, 39
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Baseinfo\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Baseinfo\mobile.vue", "vue", 0, 0, 0, 36, 0, 0, 0, 3, 39
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Baseinfo\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Baseinfo\pc.vue", "vue", 0, 0, 0, 21, 0, 0, 0, 3, 24
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\ButtonGroup\mobile.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 2, 26
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\ButtonGroup\pc.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 1, 1, 47
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Cascader\mobile.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 7, 3, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Cascader\mobile.vue", "vue", 0, 0, 0, 36, 0, 0, 0, 3, 39
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Cascader\pc.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 2, 23
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Cascader\pc.vue", "vue", 0, 0, 0, 21, 0, 0, 0, 3, 24
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Checkbox\mobile.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 7, 3, 31
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Checkbox\pc.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 0, 2, 39
"d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Code\mobile.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 2, 9
