Date : 2025-05-17 09:09:07
Directory : d:\share12\three-template-master\src\packages
Total : 362 files,  24315 codes, 2558 comments, 678 blanks, all 27551 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript     |         44 |     12,404 |      1,928 |        194 |     14,526 |
| TypeScript JSX |         80 |      4,830 |        291 |        167 |      5,288 |
| vue            |         44 |      3,234 |         44 |         98 |      3,376 |
| SCSS           |         51 |      1,891 |        172 |         93 |      2,156 |
| JavaScript     |         27 |      1,835 |        123 |        124 |      2,082 |
| XML            |        116 |        121 |          0 |          2 |        123 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        362 |     24,315 |      2,558 |        678 |     27,551 |
| . (Files)                                                                                                            |         13 |      5,307 |        218 |         68 |      5,593 |
| ckeditor                                                                                                             |          3 |        333 |         63 |         40 |        436 |
| ckeditor (Files)                                                                                                     |          2 |        331 |         63 |         39 |        433 |
| ckeditor\style                                                                                                       |          1 |          2 |          0 |          1 |          3 |
| formEditor                                                                                                           |        137 |     12,295 |      1,918 |        293 |     14,506 |
| formEditor (Files)                                                                                                   |         13 |      3,888 |      1,533 |         31 |      5,452 |
| formEditor\components                                                                                                |        120 |      7,841 |        383 |        258 |      8,482 |
| formEditor\components (Files)                                                                                        |          3 |        127 |          4 |          6 |        137 |
| formEditor\components\FormTypes                                                                                      |         85 |      2,607 |        207 |        195 |      3,009 |
| formEditor\components\FormTypes (Files)                                                                              |          1 |        103 |         10 |          2 |        115 |
| formEditor\components\FormTypes\Baseinfo                                                                             |          4 |         57 |          0 |          8 |         65 |
| formEditor\components\FormTypes\ButtonGroup                                                                          |          2 |         69 |          1 |          3 |         73 |
| formEditor\components\FormTypes\Cascader                                                                             |          4 |         99 |          7 |         11 |        117 |
| formEditor\components\FormTypes\Checkbox                                                                             |          2 |         58 |          7 |          5 |         70 |
| formEditor\components\FormTypes\Code                                                                                 |          2 |         64 |          0 |          4 |         68 |
| formEditor\components\FormTypes\Dform                                                                                |          2 |         64 |          3 |          4 |         71 |
| formEditor\components\FormTypes\Divider                                                                              |          8 |        216 |         24 |         20 |        260 |
| formEditor\components\FormTypes\Divider (Files)                                                                      |          4 |         91 |          7 |         11 |        109 |
| formEditor\components\FormTypes\Divider\Other                                                                        |          4 |        125 |         17 |          9 |        151 |
| formEditor\components\FormTypes\Entity                                                                               |          2 |         76 |          3 |          2 |         81 |
| formEditor\components\FormTypes\Html                                                                                 |          8 |        262 |         25 |         20 |        307 |
| formEditor\components\FormTypes\Html (Files)                                                                         |          4 |        137 |          8 |         11 |        156 |
| formEditor\components\FormTypes\Html\Other                                                                           |          4 |        125 |         17 |          9 |        151 |
| formEditor\components\FormTypes\Image                                                                                |          2 |         81 |          0 |          4 |         85 |
| formEditor\components\FormTypes\Input                                                                                |          2 |         73 |         11 |          5 |         89 |
| formEditor\components\FormTypes\Number                                                                               |          6 |        182 |         24 |         14 |        220 |
| formEditor\components\FormTypes\Number (Files)                                                                       |          2 |         57 |          7 |          5 |         69 |
| formEditor\components\FormTypes\Number\Other                                                                         |          4 |        125 |         17 |          9 |        151 |
| formEditor\components\FormTypes\Other                                                                                |          4 |        125 |         17 |          9 |        151 |
| formEditor\components\FormTypes\Radio                                                                                |          4 |        111 |          7 |         10 |        128 |
| formEditor\components\FormTypes\Rate                                                                                 |          2 |         60 |          8 |          5 |         73 |
| formEditor\components\FormTypes\Region                                                                               |          4 |        143 |          7 |         11 |        161 |
| formEditor\components\FormTypes\Select                                                                               |          2 |         50 |          7 |          5 |         62 |
| formEditor\components\FormTypes\Sform                                                                                |          4 |         46 |          1 |          4 |         51 |
| formEditor\components\FormTypes\Signature                                                                            |          2 |         42 |          7 |          5 |         54 |
| formEditor\components\FormTypes\Slider                                                                               |          4 |         92 |          7 |         11 |        110 |
| formEditor\components\FormTypes\Stable                                                                               |          2 |         97 |          1 |          4 |        102 |
| formEditor\components\FormTypes\String                                                                               |          2 |         85 |          2 |          5 |         92 |
| formEditor\components\FormTypes\Switch                                                                               |          2 |         42 |          7 |          5 |         54 |
| formEditor\components\FormTypes\Textarea                                                                             |          2 |         42 |          7 |          5 |         54 |
| formEditor\components\FormTypes\Time                                                                                 |          2 |         64 |          7 |          5 |         76 |
| formEditor\components\FormTypes\Uploadfile                                                                           |          4 |        204 |          7 |          9 |        220 |
| formEditor\components\Layout                                                                                         |          9 |      1,669 |         82 |         27 |      1,778 |
| formEditor\components\Panels                                                                                         |         22 |      2,961 |         81 |         27 |      3,069 |
| formEditor\components\Panels\Canves                                                                                  |          1 |         90 |          4 |          3 |         97 |
| formEditor\components\Panels\Config                                                                                  |         20 |      2,765 |         65 |         22 |      2,852 |
| formEditor\components\Panels\Config (Files)                                                                          |          2 |        365 |          6 |          3 |        374 |
| formEditor\components\Panels\Config\components                                                                       |         18 |      2,400 |         59 |         19 |      2,478 |
| formEditor\components\Panels\Fields                                                                                  |          1 |        106 |         12 |          2 |        120 |
| formEditor\components\Selection                                                                                      |          1 |        477 |          9 |          3 |        489 |
| formEditor\locale                                                                                                    |          3 |        563 |          1 |          3 |        567 |
| formEditor\style                                                                                                     |          1 |          3 |          1 |          1 |          5 |
| hooks                                                                                                                |          9 |      1,050 |         50 |         19 |      1,119 |
| hooks (Files)                                                                                                        |          1 |         20 |          1 |          0 |         21 |
| hooks\use-css                                                                                                        |          1 |        173 |          1 |          1 |        175 |
| hooks\use-fetch                                                                                                      |          1 |         30 |          2 |          1 |         33 |
| hooks\use-history                                                                                                    |          1 |         79 |          8 |          1 |         88 |
| hooks\use-i18n                                                                                                       |          1 |         16 |          9 |          2 |         27 |
| hooks\use-logic                                                                                                      |          1 |        267 |         16 |          3 |        286 |
| hooks\use-namespace                                                                                                  |          1 |         36 |          0 |          1 |         37 |
| hooks\use-props                                                                                                      |          1 |        384 |         13 |          5 |        402 |
| hooks\use-target                                                                                                     |          1 |         45 |          0 |          5 |         50 |
| icon                                                                                                                 |        120 |        212 |          1 |         10 |        223 |
| icon (Files)                                                                                                         |          3 |         83 |          1 |          7 |         91 |
| icon\svg                                                                                                             |        117 |        129 |          0 |          3 |        132 |
| region                                                                                                               |          6 |        690 |          9 |         43 |        742 |
| region (Files)                                                                                                       |          5 |        688 |          8 |         42 |        738 |
| region\style                                                                                                         |          1 |          2 |          1 |          1 |          4 |
| theme                                                                                                                |         51 |      1,891 |        172 |         93 |      2,156 |
| theme (Files)                                                                                                        |          2 |         63 |          0 |          2 |         65 |
| theme\ckeditor                                                                                                       |          1 |         48 |          1 |          1 |         50 |
| theme\formEditor                                                                                                     |         46 |      1,674 |        168 |         88 |      1,930 |
| theme\formEditor (Files)                                                                                             |         33 |      1,486 |        165 |         74 |      1,725 |
| theme\formEditor\FormTypes                                                                                           |         13 |        188 |          3 |         14 |        205 |
| theme\region                                                                                                         |          2 |        106 |          3 |          2 |        111 |
| utils                                                                                                                |         13 |      1,845 |        111 |         36 |      1,992 |
| vueDraggable                                                                                                         |         10 |        692 |         16 |         76 |        784 |
| vueDraggable (Files)                                                                                                 |          2 |        359 |         16 |         37 |        412 |
| vueDraggable\core                                                                                                    |          4 |        168 |          0 |         26 |        194 |
| vueDraggable\util                                                                                                    |          4 |        165 |          0 |         13 |        178 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                             | language       | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| d:\share12\three-template-master\src\packages\base.ts                                                                | TypeScript     |          7 |          0 |          1 |          8 |
| d:\share12\three-template-master\src\packages\ckeditor\__index.jsx                                                   | JavaScript     |        112 |         54 |         29 |        195 |
| d:\share12\three-template-master\src\packages\ckeditor\index.jsx                                                     | JavaScript     |        219 |          9 |         10 |        238 |
| d:\share12\three-template-master\src\packages\ckeditor\style\index.js                                                | JavaScript     |          2 |          0 |          1 |          3 |
| d:\share12\three-template-master\src\packages\designNodeForm.ts                                                      | TypeScript     |        501 |         10 |          4 |        515 |
| d:\share12\three-template-master\src\packages\form.ts                                                                | TypeScript     |      1,664 |         75 |         22 |      1,761 |
| d:\share12\three-template-master\src\packages\formCom.tsx                                                            | TypeScript JSX |        197 |          6 |          2 |        205 |
| d:\share12\three-template-master\src\packages\formEditor\componentsConfig.ts                                         | TypeScript     |        439 |        619 |          4 |      1,062 |
| d:\share12\three-template-master\src\packages\formEditor\components\CompleteButton.tsx                               | TypeScript JSX |         61 |          2 |          1 |         64 |
| d:\share12\three-template-master\src\packages\formEditor\components\DeviceSwitch.vue                                 | vue            |         34 |          2 |          3 |         39 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Baseinfo\mobile.tsx                    | TypeScript JSX |          0 |          0 |          1 |          1 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Baseinfo\mobile.vue                    | vue            |         36 |          0 |          3 |         39 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Baseinfo\pc.tsx                        | TypeScript JSX |          0 |          0 |          1 |          1 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Baseinfo\pc.vue                        | vue            |         21 |          0 |          3 |         24 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\ButtonGroup\mobile.tsx                 | TypeScript JSX |         24 |          0 |          2 |         26 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\ButtonGroup\pc.tsx                     | TypeScript JSX |         45 |          1 |          1 |         47 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Cascader\mobile.tsx                    | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Cascader\mobile.vue                    | vue            |         36 |          0 |          3 |         39 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Cascader\pc.tsx                        | TypeScript JSX |         21 |          0 |          2 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Cascader\pc.vue                        | vue            |         21 |          0 |          3 |         24 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Checkbox\mobile.tsx                    | TypeScript JSX |         21 |          7 |          3 |         31 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Checkbox\pc.tsx                        | TypeScript JSX |         37 |          0 |          2 |         39 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Code\mobile.tsx                        | TypeScript JSX |          7 |          0 |          2 |          9 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Code\pc.tsx                            | TypeScript JSX |         57 |          0 |          2 |         59 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Dform\mobile.tsx                       | TypeScript JSX |         20 |          1 |          2 |         23 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Dform\pc.tsx                           | TypeScript JSX |         44 |          2 |          2 |         48 |
| d:\share12\three-template-master\src\packages\formEditor\components\FormTypes\Divider\Other\mobile.tsx               | TypeScript JSX |         21 |          7 |          3 |         31 |
